InventoryID,SnapshotDate,StoreID,ProductID,OpeningStock,ReceivedQuantity,SoldQuantity,ReturnQuantity,ClosingStock,DamagedQuantity,InventoryValue
INV00006561,2025-03-02,STR001,PRD00617,442,0,19,0,423,0,153553.23
INV00006562,2025-03-02,STR001,PRD00828,200,0,92,0,108,0,47844.0
INV00006563,2025-03-02,STR001,PRD00039,38,33,18,0,53,0,332837.35
INV00006564,2025-03-02,STR001,PRD00072,9,36,5,0,40,0,124983.6
INV00006565,2025-03-02,STR001,PRD00125,89,0,38,1,51,1,53870.79
INV00006566,2025-03-02,STR001,PRD00202,31,0,13,3,20,1,17309.8
INV00006567,2025-03-02,STR001,PRD00504,75,0,45,0,30,0,28027.2
INV00006568,2025-03-02,STR001,PRD01075,51,0,10,0,41,0,130309.48
INV00006569,2025-03-02,STR001,PRD01059,85,159,34,0,210,0,77355.6
INV00006570,2025-03-02,STR001,PRD00747,38,0,20,0,18,0,17282.88
INV00006571,2025-03-02,STR001,PRD00265,70,0,29,0,41,0,119722.46
INV00006572,2025-03-02,STR001,PRD00262,31,70,9,0,92,0,741836.48
INV00006573,2025-03-02,STR001,PRD00196,123,0,11,0,112,0,251650.56
INV00006574,2025-03-02,STR001,PRD00137,59,0,12,0,47,0,301901.68
INV00006575,2025-03-02,STR001,PRD00684,40,0,21,0,19,0,46845.26
INV00006576,2025-03-02,STR001,PRD00803,66,119,28,0,157,0,192284.18
INV00006577,2025-03-02,STR001,PRD00416,31,106,18,0,119,0,82323.01
INV00006578,2025-03-02,STR001,PRD00098,30,37,5,0,62,0,632772.62
INV00006579,2025-03-02,STR001,PRD00837,73,0,35,0,38,0,90008.32
INV00006580,2025-03-02,STR001,PRD00142,20,97,6,0,111,0,303744.84
INV00006581,2025-03-02,STR002,PRD00377,21,180,7,0,193,1,158784.96
INV00006582,2025-03-02,STR002,PRD00148,54,0,27,0,27,0,126745.56
INV00006583,2025-03-02,STR002,PRD00970,463,0,177,0,286,0,68574.22
INV00006584,2025-03-02,STR002,PRD00140,67,43,21,0,88,1,426949.6
INV00006585,2025-03-02,STR002,PRD00742,69,96,37,0,128,0,303137.28
INV00006586,2025-03-02,STR002,PRD01189,32,91,5,1,119,0,266247.03
INV00006587,2025-03-02,STR002,PRD00568,313,0,14,0,299,0,86204.69
INV00006588,2025-03-02,STR002,PRD01082,45,137,25,0,157,0,125169.82
INV00006589,2025-03-02,STR002,PRD00446,50,0,19,0,30,1,26442.3
INV00006590,2025-03-02,STR002,PRD00261,96,0,48,0,48,0,245688.48
INV00006591,2025-03-02,STR002,PRD00546,422,0,216,0,206,0,97623.4
INV00006592,2025-03-02,STR002,PRD00413,106,336,24,0,418,0,125529.58
INV00006593,2025-03-02,STR002,PRD00249,10,38,8,0,40,0,136646.0
INV00006594,2025-03-02,STR002,PRD00338,57,0,33,0,24,0,16517.52
INV00006595,2025-03-02,STR002,PRD00201,50,0,9,0,41,0,77473.19
INV00006596,2025-03-02,STR002,PRD00278,429,0,19,0,410,0,119748.7
INV00006597,2025-03-02,STR002,PRD01123,114,0,25,3,92,0,175007.92
INV00006598,2025-03-02,STR002,PRD00402,105,0,14,0,91,0,74443.46
INV00006599,2025-03-02,STR002,PRD01126,93,94,34,0,153,0,252659.61
INV00006600,2025-03-02,STR002,PRD00153,31,0,17,0,14,0,110909.68
INV00006601,2025-03-02,STR003,PRD01032,93,0,49,0,44,0,3088.8
INV00006602,2025-03-02,STR003,PRD00606,288,0,135,0,153,0,47211.21
INV00006603,2025-03-02,STR003,PRD01091,109,0,51,0,58,0,162913.3
INV00006604,2025-03-02,STR003,PRD00972,55,0,18,0,37,0,23273.0
INV00006605,2025-03-02,STR003,PRD01199,24,0,14,0,10,0,33966.5
