InventoryID,SnapshotDate,StoreID,ProductID,OpeningStock,ReceivedQuantity,SoldQuantity,ReturnQuantity,ClosingStock,DamagedQuantity,InventoryValue
INV00021321,2025-07-06,STR001,PRD00614,164,0,25,0,139,0,4764.92
INV00021322,2025-07-06,STR001,PRD00360,181,249,25,0,405,0,96884.1
INV00021323,2025-07-06,STR001,PRD00892,92,0,52,0,39,1,67938.39
INV00021324,2025-07-06,STR001,PRD00522,118,109,69,0,158,0,138381.14
INV00021325,2025-07-06,STR001,PRD00413,215,336,68,0,483,0,145049.73
INV00021326,2025-07-06,STR001,PRD00935,20,103,8,0,115,0,67401.5
INV00021327,2025-07-06,STR001,PRD01139,104,166,37,0,233,0,429782.48
INV00021328,2025-07-06,STR001,PRD00885,34,143,8,0,169,0,211822.91
INV00021329,2025-07-06,STR001,PRD00362,99,141,49,2,193,0,102774.43
INV00021330,2025-07-06,STR001,PRD00281,393,372,203,0,562,0,221158.24
INV00021331,2025-07-06,STR001,PRD00494,111,0,58,0,51,2,34819.23
INV00021332,2025-07-06,STR001,PRD00913,53,0,15,0,38,0,82099.0
INV00021333,2025-07-06,STR001,PRD00267,61,0,18,0,41,2,328065.19
INV00021334,2025-07-06,STR001,PRD00873,337,0,187,0,150,0,73717.5
INV00021335,2025-07-06,STR001,PRD00391,220,0,8,0,212,0,73650.92
INV00021336,2025-07-06,STR001,PRD00251,42,0,8,0,34,0,248406.04
INV00021337,2025-07-06,STR001,PRD00732,72,0,28,0,44,0,116534.44
INV00021338,2025-07-06,STR001,PRD00131,8,54,8,0,54,0,487751.22
INV00021339,2025-07-06,STR001,PRD00289,54,110,12,0,152,0,92264.0
INV00021340,2025-07-06,STR001,PRD00121,71,68,25,0,114,0,1063885.62
INV00021341,2025-07-06,STR002,PRD00751,78,0,7,0,71,0,137765.56
INV00021342,2025-07-06,STR002,PRD00668,128,339,17,0,-25,0,97443.0
INV00021343,2025-07-06,STR002,PRD00731,117,0,48,0,69,0,109161.45
INV00021344,2025-07-06,STR002,PRD00686,90,0,54,1,37,0,78211.71
INV00021345,2025-07-06,STR002,PRD00644,391,0,20,0,371,0,167836.69
INV00021346,2025-07-06,STR002,PRD00347,150,0,77,0,73,0,48855.98
INV00021347,2025-07-06,STR002,PRD01138,36,106,21,0,121,0,337506.51
INV00021348,2025-07-06,STR002,PRD00197,16,38,9,0,44,1,166277.32
INV00021349,2025-07-06,STR002,PRD00963,218,186,85,0,319,0,20339.44
INV00021350,2025-07-06,STR002,PRD00195,37,0,6,0,31,0,96374.35
INV00021351,2025-07-06,STR002,PRD00465,73,268,18,0,323,0,143024.4
INV00021352,2025-07-06,STR002,PRD00718,86,0,50,0,36,0,60335.64
INV00021353,2025-07-06,STR002,PRD00806,231,0,24,0,207,0,38632.41
INV00021354,2025-07-06,STR002,PRD00775,58,166,7,0,217,0,428911.35
INV00021355,2025-07-06,STR002,PRD00583,42,180,24,0,198,0,86642.82
INV00021356,2025-07-06,STR002,PRD00726,178,0,82,0,96,0,143793.6
INV00021357,2025-07-06,STR002,PRD00851,80,139,7,0,212,0,408606.68
INV00021358,2025-07-06,STR002,PRD00696,68,0,11,0,57,0,61561.14
INV00021359,2025-07-06,STR002,PRD00804,58,0,8,0,50,0,28239.0
INV00021360,2025-07-06,STR002,PRD01098,61,0,27,1,35,0,39300.1
INV00021361,2025-07-06,STR003,PRD01184,35,63,19,1,80,0,254616.0
INV00021362,2025-07-06,STR003,PRD00184,62,0,25,0,37,0,95781.9
INV00021363,2025-07-06,STR003,PRD00450,72,242,7,0,307,0,89195.78
INV00021364,2025-07-06,STR003,PRD00618,201,279,19,0,461,0,84376.83
INV00021365,2025-07-06,STR003,PRD01016,459,0,119,0,340,0,54876.0
INV00021366,2025-07-06,STR003,PRD00698,129,0,38,1,92,0,100702.28
INV00021367,2025-07-06,STR003,PRD00826,360,0,51,1,310,0,37262.0
INV00021368,2025-07-06,STR003,PRD00724,80,180,16,0,244,0,-9999.0
INV00021369,2025-07-06,STR003,PRD00672,67,0,13,0,54,0,162747.36
INV00021370,2025-07-06,STR003,PRD00366,179,164,28,0,315,0,149539.95
INV00021371,2025-07-06,STR003,PRD00079,97,0,51,0,46,0,620345.42
INV00021372,2025-07-06,STR003,PRD00820,153,0,67,1,87,0,102414.66
INV00021373,2025-07-06,STR003,PRD00585,86,374,34,0,426,0,123390.9
INV00021374,2025-07-06,STR003,PRD00991,32,83,18,0,97,0,49909.41
