InventoryID,SnapshotDate,StoreID,ProductID,OpeningStock,ReceivedQuantity,SoldQuantity,ReturnQuantity,ClosingStock,DamagedQuantity,InventoryValue
INV00035261,2025-11-02,STR001,PRD00133,49,0,19,2,32,0,213784.96
INV00035262,2025-11-02,STR001,PRD00864,206,0,27,0,179,0,200132.74
INV00035263,2025-11-02,STR001,PRD00810,66,400,28,0,438,0,114361.8
INV00035264,2025-11-02,STR001,PRD00092,43,0,25,0,18,0,84198.24
INV00035265,2025-11-02,STR001,PRD00508,265,0,49,2,218,0,23964.74
INV00035266,2025-11-02,STR001,PRD00435,71,75,42,0,103,1,60169.51
INV00035267,2025-11-02,STR001,PRD00957,306,0,13,0,293,0,27703.15
INV00035268,2025-11-02,STR001,PRD00436,82,0,10,0,72,0,36554.4
INV00035269,2025-11-02,STR001,PRD01199,23,0,7,0,16,0,54346.4
INV00035270,2025-11-02,STR001,PRD00275,87,0,18,0,69,0,58505.1
INV00035271,2025-11-02,STR001,PRD00193,10,32,7,0,35,0,146701.8
INV00035272,2025-11-02,STR001,PRD00981,491,0,189,0,302,0,16380.48
INV00035273,2025-11-02,STR001,PRD00368,86,0,44,0,42,0,24693.06
INV00035274,2025-11-02,STR001,PRD00040,17,72,5,0,84,0,1468908.84
INV00035275,2025-11-02,STR001,PRD00108,35,0,19,0,16,0,252835.52
INV00035276,2025-11-02,STR001,PRD00903,317,0,91,0,226,0,62242.66
INV00035277,2025-11-02,STR001,PRD00431,52,0,5,0,47,0,24496.4
INV00035278,2025-11-02,STR001,PRD00005,12,69,8,0,73,0,1346036.78
INV00035279,2025-11-02,STR001,PRD00644,177,0,49,0,128,0,57905.92
INV00035280,2025-11-02,STR001,PRD00761,371,0,182,0,189,0,50880.69
INV00035281,2025-11-02,STR002,PRD00743,114,0,8,0,106,0,119945.36
INV00035282,2025-11-02,STR002,PRD00005,16,69,9,0,76,0,1401353.36
INV00035283,2025-11-02,STR002,PRD00379,134,388,39,0,483,0,222498.78
INV00035284,2025-11-02,STR002,PRD00377,62,0,27,0,35,0,28795.2
INV00035285,2025-11-02,STR002,PRD00917,126,0,18,1,109,0,106910.47
INV00035286,2025-11-02,STR002,PRD00634,102,0,24,0,78,0,23318.88
INV00035287,2025-11-02,STR002,PRD00567,298,0,111,0,187,0,42441.52
INV00035288,2025-11-02,STR002,PRD01153,58,0,29,0,29,0,72486.95
INV00035289,2025-11-02,STR002,PRD00251,92,59,27,0,124,0,905951.44
INV00035290,2025-11-02,STR002,PRD00168,42,0,11,0,31,0,204942.86
INV00035291,2025-11-02,STR002,PRD00510,425,0,88,1,338,0,145143.96
INV00035292,2025-11-02,STR002,PRD01038,143,0,38,0,105,0,31850.7
INV00035293,2025-11-02,STR002,PRD00138,44,0,5,0,39,0,103816.83
INV00035294,2025-11-02,STR002,PRD00913,151,96,84,1,164,0,354322.0
INV00035295,2025-11-02,STR002,PRD00577,304,0,48,1,257,0,48644.96
INV00035296,2025-11-02,STR002,PRD00221,33,0,16,0,17,0,98105.13
INV00035297,2025-11-02,STR002,PRD00318,488,0,247,0,241,0,28623.57
INV00035298,2025-11-02,STR002,PRD00159,20,36,11,0,45,0,165443.4
INV00035299,2025-11-02,STR002,PRD00356,173,0,66,0,106,1,77823.08
INV00035300,2025-11-02,STR002,PRD01036,107,371,31,0,447,0,55950.99
INV00035301,2025-11-02,STR003,PRD00794,34,31,20,2,47,0,148540.21
INV00035302,2025-11-02,STR003,PRD00490,333,0,187,1,147,0,20331.57
INV00035303,2025-11-02,STR003,PRD00245,22,0,6,0,16,0,70868.96
INV00035304,2025-11-02,STR003,PRD00735,146,178,30,0,294,0,475186.32
INV00035305,2025-11-02,STR003,PRD00905,120,0,57,0,33,0,96571.44
INV00035306,2025-11-02,STR003,PRD00416,178,0,35,1,144,0,99617.76
INV00035307,2025-11-02,STR003,PRD00037,44,0,11,1,34,0,569854.28
INV00035308,2025-11-02,STR003,PRD00899,28,0,5,0,23,0,33551.48
INV00035309,2025-11-02,STR003,PRD00199,101,0,45,0,56,0,74776.8
INV00035310,2025-11-02,STR003,PRD00507,357,0,194,0,162,1,34886.7
INV00035311,2025-11-02,STR003,PRD00761,169,0,40,0,129,0,34728.09
INV00035312,2025-11-02,STR003,PRD00913,143,0,6,0,137,0,295988.5
INV00035313,2025-11-02,STR003,PRD00060,52,0,11,1,42,0,442324.26
INV00035314,2025-11-02,STR003,PRD00937,57,396,16,0,436,1,77416.16
INV00035315,2025-11-02,STR003,PRD00452,79,0,12,0,66,1,58056.9
INV00035316,2025-11-02,STR003,PRD00938,296,302,152,0,446,0,145989.18
INV00035317,2025-11-02,STR003,PRD00030,17,65,6,1,77,0,969398.43
INV00035318,2025-11-02,STR003,PRD01146,142,121,77,0,186,0,276911.22
INV00035319,2025-11-02,STR003,PRD00008,19,0,9,0,10,0,103934.7
INV00035320,2025-11-02,STR003,PRD00389,54,122,27,0,149,0,110254.04
INV00035321,2025-11-02,STR004,PRD00956,75,77,33,0,119,0,68068.0
INV00035322,2025-11-02,STR004,PRD01158,94,68,41,0,121,0,505450.88
INV00035323,2025-11-02,STR004,PRD01104,21,50,9,0,62,0,216278.32
INV00035324,2025-11-02,STR004,PRD00573,416,234,17,0,633,0,17059.35
INV00035325,2025-11-02,STR004,PRD00987,243,0,106,0,137,0,27721.95
INV00035326,2025-11-02,STR004,PRD00703,73,0,36,0,37,0,25920.35
INV00035327,2025-11-02,STR004,PRD00802,130,0,71,0,59,0,139740.91
INV00035328,2025-11-02,STR004,PRD00054,44,49,24,3,71,1,840664.14
INV00035329,2025-11-02,STR004,PRD00022,30,0,12,1,19,0,310410.03
INV00035330,2025-11-02,STR004,PRD01085,35,0,10,0,25,0,103407.25
INV00035331,2025-11-02,STR004,PRD00580,89,194,24,0,259,0,54726.7
INV00035332,2025-11-02,STR004,PRD00601,80,176,22,1,235,0,7242.7
INV00035333,2025-11-02,STR004,PRD00070,17,44,8,0,53,0,585014.53
INV00035334,2025-11-02,STR004,PRD00457,38,0,22,0,15,1,8240.85
INV00035335,2025-11-02,STR004,PRD00950,321,0,120,0,201,0,25589.31
INV00035336,2025-11-02,STR004,PRD01027,76,399,27,0,448,0,101122.56
INV00035337,2025-11-02,STR004,PRD00163,16,72,5,0,83,0,640178.17
INV00035338,2025-11-02,STR004,PRD00033,41,0,15,0,26,0,46365.28
INV00035339,2025-11-02,STR004,PRD00117,46,0,13,0,33,0,133749.66
INV00035340,2025-11-02,STR004,PRD00191,75,0,22,0,53,0,275507.25
INV00035341,2025-11-02,STR005,PRD00971,356,223,60,0,519,0,159161.73
INV00035342,2025-11-02,STR005,PRD00887,102,0,20,0,82,0,95914.58
INV00035343,2025-11-02,STR005,PRD00344,68,168,7,0,229,0,99294.4
INV00035344,2025-11-02,STR005,PRD00096,103,0,33,0,70,0,80828.3
INV00035345,2025-11-02,STR005,PRD00816,58,0,26,0,32,0,27436.48
INV00035346,2025-11-02,STR005,PRD00298,114,0,13,0,101,0,67278.12
