SaleID,SaleDate,StoreID,ProductID,Quantity,UnitPrice,Discount,Revenue,Cost,PaymentMethod,CustomerSegment
SAL20250049445,2025-06-06,STR024,PRD00190,1,12169.57,0.0,12169.57,7955.32,Credit Card,Regular
SAL20250049446,2025-06-19,STR021,PRD00860,1,694.13,0.05,659.42,417.51,Cash,Regular
SAL20250049447,2025-06-17,STR040,PRD01191,2,6431.83,0.0,12863.66,8022.98,Credit Card,Regular
SAL20250049448,2025-06-29,STR001,PRD00832,1,1859.75,0.0,1859.75,1370.28,Cash,Regular
SAL20250049449,2025-06-07,STR040,PRD00442,2,148.56,0.0,297.12,239.4,Cash,Regular
SAL20250049450,2025-06-27,STR032,PRD00618,2,249.13,0.0,498.26,366.06,UPI,Regular
SAL20250049451,2025-06-09,STR020,PRD01159,1,3270.67,0.0,3270.67,1499.26,Credit Card,Regular
SAL20250049452,2025-06-05,STR016,PRD00348,1,1231.54,0.0,1231.54,694.06,Credit Card,Walk-in
SAL20250049453,2025-06-27,STR022,,2,773.23,0.05,1469.14,1312.28,Cash,Regular
SAL20250049454,2025-06-17,STR006,PRD00092,1,6575.52,0.0,6575.52,4677.68,Debit Card,Walk-in
SAL20250049455,2025-06-28,STR016,PRD00984,1,34.1,0.0,34.1,20.02,UPI,Walk-in
SAL20250049456,2025-06-26,STR028,PRD01099,1,4242.7,0.0,4242.7,2721.85,UPI,Regular
SAL20250049457,2025-06-27,STR016,PRD00782,3,3353.32,0.0,10059.96,5872.56,Credit Card,Regular
SAL20250049458,2025-06-03,STR022,PRD00689,1,492.79,0.0,492.79,332.83,Debit Card,Regular
SAL20250049459,2025-06-03,STR008,PRD01037,4,431.13,0.1,1552.07,928.76,Net Banking,Corporate
SAL20250049460,2025-06-07,STR037,PRD00823,1,2558.98,0.0,2558.98,1717.69,Credit Card,Regular
SAL20250049461,2025-06-07,STR011,PRD00483,1,634.79,0.0,634.79,530.96,Credit Card,Regular
SAL20250049462,2025-06-19,STR038,PRD00570,1,376.39,0.0,376.39,268.57,Cash,Regular
SAL20250049463,2025-06-03,STR030,PRD00598,1,173.87,0.0,173.87,122.49,UPI,Regular
SAL20250049464,2025-06-13,STR034,PRD01068,4,5954.4,0.0,23817.6,13980.8,Debit Card,Corporate
SAL20250049465,2025-06-14,STR036,PRD00019,1,9063.53,0.0,9063.53,6399.55,Cash,Premium
