SaleID,SaleDate,StoreID,ProductID,Quantity,UnitPrice,Discount,Revenue,Cost,PaymentMethod,CustomerSegment
SAL20250069771,2025-08-08,STR034,PRD00994,2,1224.56,0.0,2449.12,1266.38,UPI,Walk-in
SAL20250069772,2025-08-22,STR040,PRD00387,2,446.12,0.0,892.24,496.6,UPI,Walk-in
SAL20250069773,2025-08-07,STR016,PRD00114,1,17643.2,0.05,16761.04,12306.0,Credit Card,Corporate
SAL20250069774,2025-08-29,STR025,PRD00871,2,1211.65,0.0,2423.3,1718.64,Debit Card,Regular
SAL20250069775,2025-08-28,STR033,PRD01104,2,7758.33,0.0,15516.66,6976.72,Debit Card,Walk-in
SAL20250069776,2025-08-20,STR009,PRD01060,1,277.54,0.1,249.79,198.35,Debit Card,Premium
SAL20250069777,2025-08-14,STR004,PRD01025,2,56.45,0.0,112.9,60.3,Net Banking,Premium
SAL20250069778,2025-08-21,STR033,PRD00435,2,718.79,0.0,1437.58,1168.34,Credit Card,Regular
SAL20250069779,2025-08-01,STR021,PRD00170,1,1380.75,0.1,1242.67,918.49,Debit Card,Premium
SAL20250069780,2025-08-26,STR020,PRD00398,1,358.79,0.0,358.79,173.35,Credit Card,Walk-in
SAL20250069781,2025-08-09,STR031,PRD00717,1,402.54,0.0,402.54,262.23,UPI,Premium
SAL20250069782,2025-08-06,STR037,PRD00096,1,1587.91,0.0,1587.91,1154.69,UPI,Regular
SAL20250069783,2025-08-29,STR012,PRD00883,1,2575.75,0.0,2575.75,1437.48,UPI,Regular
SAL20250069784,2025-08-12,STR035,PRD00266,1,13058.2,0.0,13058.2,8085.89,Credit Card,Regular
SAL20250069785,2025-08-29,STR014,PRD00100,1,14294.81,0.0,14294.81,9774.86,UPI,Walk-in
SAL20250069786,2025-08-19,STR028,PRD00922,1,953.09,0.0,953.09,628.16,UPI,Regular
SAL20250069787,2025-08-04,STR041,PRD00344,2,702.67,0.05,1335.07,867.2,Net Banking,Walk-in
SAL20250069788,2025-08-10,STR033,PRD00038,2,2962.9,0.0,5925.8,4227.06,Credit Card,Premium
SAL20250069789,2025-08-18,STR037,PRD00100,1,14294.81,0.0,14294.81,9774.86,UPI,Regular
SAL20250069790,2025-08-22,STR032,PRD00071,1,14423.02,0.0,14423.02,9605.63,UPI,Walk-in
SAL20250069791,2025-08-09,STR021,PRD00032,1,19217.6,0.0,19217.6,14800.0,Net Banking,Regular
SAL20250069792,2025-08-22,STR020,PRD00306,1,1349.3,0.0,1349.3,771.94,UPI,Walk-in
SAL20250069793,2025-08-31,STR010,PRD01032,5,117.65,0.05,558.84,351.0,Cash,Premium
SAL20250069794,2025-08-20,STR001,PRD00943,3,787.16,0.0,2361.48,1597.32,UPI,Regular
SAL20250069795,2025-08-08,STR033,PRD00962,2,708.41,0.0,1416.82,791.36,Credit Card,Premium
SAL20250069796,2025-08-15,STR003,PRD00617,1,496.18,0.1,446.56,363.01,Net Banking,Regular
SAL20250069797,2025-08-30,STR041,PRD00050,1,20155.67,0.0,20155.67,16076.03,Debit Card,Regular
SAL20250069798,2025-08-05,STR041,PRD00824,3,3034.92,0.0,9104.76,6499.59,Credit Card,Regular
SAL20250069799,2025-08-24,STR006,PRD00178,1,9669.95,0.0,9669.95,6949.73,Cash,Walk-in
SAL20250069800,2025-08-09,STR030,PRD00186,1,7826.08,0.0,7826.08,5124.89,UPI,Corporate
SAL20250069801,2025-08-01,STR008,PRD00534,1,97.09,0.0,97.09,80.59,Debit Card,Walk-in
SAL20250069802,2025-08-23,STR022,PRD00393,1,526.25,0.1,473.62,344.18,UPI,Regular
SAL20250069803,2025-08-25,STR035,PRD00030,1,17262.94,0.0,17262.94,12589.59,UPI,Regular
SAL20250069804,2025-08-04,STR005,PRD01042,4,143.52,0.0,574.08,378.76,Cash,Corporate
SAL20250069805,2025-08-23,STR003,PRD00759,1,4285.9,0.1,3857.31,2644.58,UPI,Regular
SAL20250069806,2025-08-29,STR023,PRD00543,2,579.45,0.0,1158.9,850.46,UPI,Regular
SAL20250069807,2025-08-24,STR025,PRD00047,1,27210.89,0.0,27210.89,17922.95,Credit Card,Regular
